,Source,Restaurant Name,Author,Rating,Time,Review
10,Google,MADRAS RESTAURANT- True Taste of South India,Saloni Bhatia,"Rated 5.0 out of 5,",9 months ago,"We recently visited Madras Cafe, and ordered Hakka Chilli Garlic Idli, Cheese Masala Dosa, Mutton Dum Biryani and Mango lassi. I must say this place has some authentic flavours of India, both North + South Indian food. The staff followed all safety measures and served hot and yummy properly packed meals. Do give it a try if you are looking for some famous Indian delicacies to make your day a special one, I am sure you won't regret it!"
11,Google,MADRAS RESTAURANT- True Taste of South India,Pradeep Narayanan,"Rated 3.0 out of 5,",2 months ago,"I am sorry to say that I was Not impressed with their food. It lacked the genuineness that's synonymous to the name after which they have named their restaurant and has no connection whatsoever...though (politically) the name Madras was already renamed to Chennai but the legacy stands tall...alas, not in this case. There was simply nothing that stood common as I desperately tried to find something that binds them. Sorry for a negative review but I was not a happy camper :(Vegetarian options: Plain dosa was bland and tasteless:("
12,Google,MADRAS RESTAURANT- True Taste of South India,Sparsh Sharma,"Rated 3.0 out of 5,",3 months ago,Menu is very limited. Service and food quantity aren't bad. Taste though needs a major improvement. All the chutnies and sambhar were watery and the former weren't too good in taste or fresh either.I just enjoyed the hot masala dosas without chutney & sambhar.Mysore masala dosa tasted almost like a masala dosa.Rava dosa wasn't available.Chilly fried idlis weren't exactly how you'd expect them to be.
13,Google,MADRAS RESTAURANT- True Taste of South India,Rishi Sri Lekha,"Rated 5.0 out of 5,",2 months ago,Our experience at this Restaurant was beyond amazing..Good quantity and superb tasty food. Chicken Biryani had very good flavor much filling. Dosa was one of the best I had after coming to Canada. Thank you Madras for such amazing Home style food. Must Try; Highly Recommand
14,Google,MADRAS RESTAURANT- True Taste of South India,Harpreet Kaur,"Rated 5.0 out of 5,",a month ago,"Amazing food with amazing service, nice place to have authentic food. Front staff friendly and professional,  they treat their guest very well.  Best experience like always... We are their regular customers... Yes really MADRAS values their customers.Thank you so much"
15,Google,MADRAS RESTAURANT- True Taste of South India,Rajveer Singh,"Rated 5.0 out of 5,",3 months ago,"Where do i start? Dosa’s are hands down their biggest strengths. The other options are good as well and the refreshments section is loaded. The service is excellent. The directors of the restaurant are humble and very forthcoming. Also, let me in you on a secret. The panner tikka masala dosa with added cheese is one of the best dosa’s that I have ever tasted. So, if you ever visit Madras, do not miss out on this hidden gem."
16,Google,MADRAS RESTAURANT- True Taste of South India,Bunny Bird,"Rated 1.0 out of 5,",a week ago,"One time I gave 5 stars to this place, but I haven't dined or done take out in a while. Sure enough this time when I did take out order, I found a  long piece of black hair inside my masala dosa. That's absolutelty disgusting and not acceptable. A big thumbsdown. I don't think I will return again since the quality of food has gone down tremendously! Please wear hair nets!"
17,Google,MADRAS RESTAURANT- True Taste of South India,TARANJITSINGH DHIMAN,"Rated 5.0 out of 5,",4 months ago,Very very yummy and delicious south Indian food I don't think anyone can get it from anywhere else.
18,Google,MADRAS RESTAURANT- True Taste of South India,Rubi Kaur,"Rated 1.0 out of 5,",2 months ago,"Took too long to make one order even though the whole restaurant was empty, they were 3 in store, keep doing there own work instead of serving the guest at counter. Weird. I have no personal grudges as i work with food sector aswell, but if we have dine in guest atleast somebody should be at counter to help guests."
19,Google,MADRAS RESTAURANT- True Taste of South India,Swanand Ketkar,"Rated 2.0 out of 5,",a year ago,"Not a good experience overall. We ordered for a takeout and the order taker was pretty rude on the phone. To tell about the good side only the Idli and sambar had a good taste. We had Dal wada which was half cooked and not fluffy at all, the chutneys were not tasty and the dosa with it's vegetables was tasteless as well. I would not recommend the place to anybody."
20,Google,MADRAS RESTAURANT- True Taste of South India,Karan Miglani,"Rated 4.0 out of 5,",2 months ago,We always order authentic dosa and loved it but this time I tried paneer tikka masala dosa but regretted after I ate it. Chicken biryani always fresh and Hakka idly is best at par. Kids didn’t like their cheese dosa though.
21,Google,MADRAS RESTAURANT- True Taste of South India,Sally P,"Rated 1.0 out of 5,",3 months ago,"Very disappointed. I was at your restaurant on the 28th of June 2022 at around 3pm. My friend and I were very hungry and was so looking for a tasty south Indian food such as Thali and Briyani. We are South Indians. I ordered a plate of Thali and she ordered mutton Biriyani. To my disappointment the Thali was not Thali at all. Please go visit another South Indian Restaurant and learn from them about serving a proper Thali. There was RICE, SAMBAR, RASAM tasted nothing like Rasam, Channa Korma with Panner, curd, Kulab Jamun, Chapati and Pappadam. Since when did Channa Korma became a South Indian dish. The channa mix was so salty which I even informed the waiter. when i stood up to pay, then did I realize the cook was a North/East Indian  lady. How could you hire a N/E Indian to cook South Indian Food. South Indian food flavor comes from our spices. There is a vast difference in N/E Indian cooking to South Indian cooking. To top it off you have a sign board that reads -True Taste of South Indian Food- are you serious, buddy?"
22,Google,MADRAS RESTAURANT- True Taste of South India,Sneha Sharma,"Rated 1.0 out of 5,",a month ago,"Visited restaurant yesterday, not great food experience, ordered chicken 65, veg thali and non-veg thali. Chicken 65 was not dry as in pictures rather semi gravy style.Both thali had very small quantity of rice served , additional rice charged for $5! Chapati served in thali was kind of reheated. Rasam was mere water with no flavors in it!"
23,Google,MADRAS RESTAURANT- True Taste of South India,kompal arora,"Rated 5.0 out of 5,",3 months ago,"One the best dosas in Brampton 😊❤️ always have craving for madras special, loved it. I always hope they close late so I can have once or twice in week. Still one of my go to places for South Indian ❤️"
24,Google,MADRAS RESTAURANT- True Taste of South India,Aakash Dhawan (Kash),"Rated 5.0 out of 5,",a year ago,"Good food and service..for the price just wished little more content.. but thanks for having us it was really good.We visited again today, and wow it was amazing we had a lot of fun. Amazing service. Great food. The green chatni I think pudina was really good. Paneer Tikka amazing.Thanks you"
25,Google,MADRAS RESTAURANT- True Taste of South India,marilyn maharaj,"Rated 1.0 out of 5,",3 months ago,"OMG!!! Responding to a review by Sally P.  In all do respect, you have a big bold sign saying MADRAS. I'm very sorry to say that you insulting my food and my culture and my South Indian food by false advertising. I am very familiar with my South Indian food and being a food critic,your food very much disappointed me.I'm sure bad reviews are soul hurting to you but keep in mind, we pay for your food and services and it hurts our pockets and stomach too.In addition to Sally P, I have never had channa in  a South Indian thali!!!No need to get offended.  Just serve food accordingly to your restaurant name. This is not a MADRAS RESTAURANT. 🙏"
26,Google,MADRAS RESTAURANT- True Taste of South India,aditi sharma,"Rated 2.0 out of 5,",a month ago,"I ordered food last weekend . But , it’s really disappointed to order food from here . Sambar and coconut chutney was so watery . I tried 4 different dosas but I liked only panner tikka one . We eat it because we are hungry but taste was not good ."
27,Google,MADRAS RESTAURANT- True Taste of South India,jaasmeen kaur,"Rated 5.0 out of 5,",a month ago,Service is very fast and excellent 👌👌. They makes my morning very bright and good🌄🌄. Vaddas are excellent😋😋. Whenever you go there must try their vaddas especially with sambar and chutney. Very clean and calm environment🍃🍃. I enjoyed their food in mornings in a light music🎶🎶. The girl who is serving is an outstanding 👍🏻👍🏻 Brilliant staff's nature . Recommend everyone to Taste their food and make your day special.🌸🌸🌸
28,Google,MADRAS RESTAURANT- True Taste of South India,Prabhjot kaur,"Rated 1.0 out of 5,",2 months ago,"Worst service ever. Staff was so unprofessional, they don’t know how to take orders and how to serve. They took our order and then again came back to reconfirm they themselves doesnt know what they have on menu. Then we waited for 30 minutes for just 2 items and they were serving other people who came after us nd when i asked the girl who was taking orders that what is happening why is it taking so long then she just said ok i will bring urs and after few minutes other girl came nd reconfirmed the order. I mean after waiting for long 30 minutes somebody is confirming nd asking did u ordered if yes then what did u ordered. Then also after reconfirming they didnt showed up with our order at last we left by just paying for pop we ordered nd they were least bothered that customer left without eating. So i would give them not even a zero but negative stars for worst staff, worst service.Thanks for replying and considering The issue i raised. Hope you guys grow much more."
29,Google,MADRAS RESTAURANT- True Taste of South India,Kamini Sharma,"Rated 5.0 out of 5,",a month ago,"I want to thank whole team but especially tejinder for the service and great food. I went late, almost closing time, still he(tejinder) dealt with smile on his face. Keep shinning."
30,Google,MADRAS RESTAURANT- True Taste of South India,Blue Sky,"Rated 5.0 out of 5,",a week ago,"Amazing Food!!! It feels like you are in India, great dosas, vada, chai.  Friendly staff. One of my favorite spots."
31,Google,MADRAS RESTAURANT- True Taste of South India,Suryaansh Joshi,"Rated 3.0 out of 5,",2 years ago,Their food used to be good but after reopening the quality has gone down in my opinion.My fav go to is the paneer dosa.I had it today but was amazed to find a piece of plastic in the white chutney.These guys have to be very careful.
32,Google,MADRAS RESTAURANT- True Taste of South India,Danish Gambhir,"Rated 1.0 out of 5,",10 months ago,After going through mix reviews I gave it a try on Uber eats.1. Onion masala dosa- warm but so undone and soggy. Nothing like dosa 👎🏻2. Idli & vada - Idly was really uncookedNot worth the money . I’ll stick to my other choices .Edit add- Weather can not change the food quality. I never said food was spilled or cold. It was undercooked and soggy.
33,Google,MADRAS RESTAURANT- True Taste of South India,Mohan kannikanti,"Rated 5.0 out of 5,",a year ago,This place has amazing food. The masala dosa is very flavorful and filling. I recommend everyone to come here to eat.also the restaurant is very clean and has warm and welcoming enviroment💜. The picture is tasty treat combo. It tasted great and it’s a great value item.
34,Google,MADRAS RESTAURANT- True Taste of South India,Boom Lab,"Rated 4.0 out of 5,",4 years ago,"4 STARS. ⭐⭐⭐⭐---Staff were extremely friendly and lots of warm smiles. Customers were busy coming and going from the establishment. Even though I ordered a Non-Vegetarian Tali, the food was very tasty. The decor is outdated - from the fake flowers which decorated the many corners of the restaurant, to the very unappealing black and very ugly wall Tiling. I do recommend this place for a quick bite. 👍"
35,Google,MADRAS RESTAURANT- True Taste of South India,Shyam Sunil,"Rated 3.0 out of 5,",3 years ago,"This place is OK not great. It is in business since last 1 year and yet the service is still very slow.We ordered for a South Indian Thali and the owner said he will take 20-30 mins to get it ready. As we didnt have any choice we waited and saw other getting served who came after us. It was clear that the item we ordered is not a fast going item and wasn't important for the owner.The food was average, the service was slow and the layout of the tables are messy.The ladies and men's rooms are more of a storage unit than washrooms.You can go to this place only if all the other options have a long wait time or if you are friends with owner."
36,Google,MADRAS RESTAURANT- True Taste of South India,Walter D'Mello,"Rated 3.0 out of 5,",2 years ago,"We had been for coffee and snacks , food was good , coffee ok but not Madras style but the wait was very long I thought they forgot we had ordered dated 2018Revisited in feb 2020 this place is no longer Madras but Andhra  and the food served has a different feel and taste not the real taste"
37,Google,MADRAS RESTAURANT- True Taste of South India,Gvs Harsha Vardhan,"Rated 4.0 out of 5,",4 months ago,"I had veg thali here and in my opinion, it's average considering taste, variety, and price.Being a south Indian restaurant, I expected sort of south Indian curries instead I got channa masala and panner capsicum curry.Ambiance: GoodTaste and variety: Average"
38,Google,MADRAS RESTAURANT- True Taste of South India,Nischay Behal (Nish),"Rated 5.0 out of 5,",6 months ago,The restaurant reminded me of my trip to Indian Coffee House as a kid in India. The food’s taste was very good - I ordered Vadas with Sambhar which were served hot and fresh - not too oily and crisp and even the sambhar was up to the expectations - not to mention the Chutnee which was made to perfection. This place has my full recommendation. I will be visiting again with family to try their Dosas.The lady who greeted me was also very good natured and cheerful.P.S I forgot to mention filter coffee that I ordered on the side - which was amazing. If nothing - I’ll come back for the coffee - an Immersive South Indian experience.
39,Google,MADRAS RESTAURANT- True Taste of South India,Printhan Sivasothy,"Rated 5.0 out of 5,",4 months ago,"I had their chicken briyani, 3 or 4 times now; probably one of the best briyani that I have tasted; their chicken is very flavorful and spicy.  I also tried their chili chicken, spicy and flavorful.   Their Briyani is not oily at all, cooked right!."
40,Google,MADRAS RESTAURANT- True Taste of South India,Ash S,"Rated 5.0 out of 5,",3 months ago,This is the best Biryani place in GTA. I know it is known more for South Indian food. But the Chicken Biryani it is the best I have had in the GTA. South Indian food is also very good. I love the vada sambar as well.
41,Google,MADRAS RESTAURANT- True Taste of South India,Rajpreet &Amrinder singh 1st anniversary dandiwal,"Rated 5.0 out of 5,",4 months ago,"Very good place to eat I went there first time with me one year little girl and husband service was amazing and food was delicious. Employees are responsible and respectable , We enjoyed alot I would recommend this place for fast service and tasty food🤗"
42,Google,MADRAS RESTAURANT- True Taste of South India,Mohit Kashyap,"Rated 4.0 out of 5,",5 months ago,"Food is delicious and portions are good I ordered masala dosa, vada and idli all items were good specially sambar and chutney’s must try place gets quite busier"
43,Google,MADRAS RESTAURANT- True Taste of South India,Fijo Francis,"Rated 2.0 out of 5,",4 months ago,I give them 2 star because I ordered masala dosa and non veg thali and vada.Dosa is not good and in the non veg thali they have only chicken curry and rest of the curry’s are veg. And that is not tasty too
44,Google,MADRAS RESTAURANT- True Taste of South India,Manpreet Singh,"Rated 5.0 out of 5,",4 months ago,That’s a really good eating joint. The ambiance is good. The walls are filled with superstars posters. Good quality is really good as their service. Variety of dosas available. Would really recommend this place
45,Google,MADRAS RESTAURANT- True Taste of South India,Sunil Singh,"Rated 5.0 out of 5,",3 months ago,It was awesome experience with Madras restaurants.  Had wonderful food. Specially mutton. Dosa and veg pullau also very tasty. I recommend everyone's to visit there and enjoy.
46,Google,MADRAS RESTAURANT- True Taste of South India,Manpreet Kaur,"Rated 3.0 out of 5,",3 months ago,We ordered 2 combos ( both veg and non veg)1. The non veg had bigger bowl of chicken than the veg bowl of paneer2. There should be atleast 2 rotis atleast rather than 1.Dosa was A Class
47,Google,MADRAS RESTAURANT- True Taste of South India,Taste with Absz,"Rated 5.0 out of 5,",3 months ago,"Absolutely love their biriyani! The texture, the flavour, and even the raita! Would definitely recommend to anyone trying to get good biriyani."
48,Google,MADRAS RESTAURANT- True Taste of South India,Pringal Christopher,"Rated 4.0 out of 5,",5 months ago,I went out for family dinner. The food was good but the device was even better. Tejinder was awesome in serving us. Loved to go to a restaurant where people like Tejinder are working.God bless you Tejinder
49,Google,MADRAS RESTAURANT- True Taste of South India,Nani YD,"Rated 5.0 out of 5,",a year ago,"We have been coming here for many years now. Always felt consistent with the taste.  Ambiance with some South celebrity photos and decent decor feels cozy and homely. Could enjoy Dining experience after many months. Seating was spacious, well organized for physical distancing.  Our food arrived in no time and looked appetizing. Dosa was huge,  Sambhar and variety of chutneys tasted great. Hands down best South Indian food."
50,Google,MADRAS RESTAURANT- True Taste of South India,Divya Mora,"Rated 5.0 out of 5,",4 years ago,Great place for indian flavoured food and they provided excellent service. I tasted chettinadu dosa which was so yummy. I love to eat in this place again
51,Google,MADRAS RESTAURANT- True Taste of South India,Tejinder Singh,"Rated 5.0 out of 5,",4 months ago,Top notch customer service very friendly staff. Food was delicious…chicken dosa and mysore dosa are must try . Definitely worth trying considering the price and quality
52,Google,MADRAS RESTAURANT- True Taste of South India,Simranjit Singh,"Rated 4.0 out of 5,",6 months ago,"Went today second time. This time I tried the Madras speciality masala dosa and it is one of the best and most authentic dosa I ever had in GTA. Also, kudos to Tejinder for providing excellent customer service with a bright smile and compassionate way to serve us. The only downside was the less amount of Sambar and chutney provided."
53,Google,MADRAS RESTAURANT- True Taste of South India,pushpendra bhargaw,"Rated 3.0 out of 5,",4 years ago,"Sadly food was not that tasty as they look and ofcourse one Vada cost $3.4, masala dosa $9.5 . I’ll go to any Srilankan restaurant for the value over this!"
54,Google,MADRAS RESTAURANT- True Taste of South India,Urmi Patel,"Rated 5.0 out of 5,",2 months ago,"Owsome place with best food of taste , enjoyed dinner with friends , lots of variety.. staff was friendly and place was clean and managed .. must visit .. you will love the South Indian food taste"
55,Google,MADRAS RESTAURANT- True Taste of South India,Harsimrat kaur Mander,"Rated 5.0 out of 5,",2 months ago,"Today i went their with my family for lunch. It was great fun everything(ambiance,food,staff) was very nice. Highly recommend this place!"
56,Google,MADRAS RESTAURANT- True Taste of South India,Gagan Kaler,"Rated 1.0 out of 5,",2 months ago,"Worst experience ever....we were the regular customers but today was our last visit....the girl working as a cashier don't know how to behave or talk with the clients....very rude and unprofessional....we had a query about dosa she replied ""the dosa is ok if you have eat before""...please train your front desk girl first"
57,Google,MADRAS RESTAURANT- True Taste of South India,kanwarjit lamba,"Rated 4.0 out of 5,",2 years ago,"Small quite South Indian restaurant, we were not disappointed by the Dosa we had here and we will be coming back for more.Biggest concern here is limited parking space."
58,Google,MADRAS RESTAURANT- True Taste of South India,Gurinder Singh,"Rated 5.0 out of 5,",3 years ago,What a variety of Dosas to choose from. We purposefully ordered different kinds to try them out. Every Dosa had a distinct taste and we just loved them all. Chicken Masala Dosa was one of the best one. Me and my friends ordered extra sambar and they didn't even charge us for that. Great evening with some spicy south Indian food. Good job Madras.
59,Google,MADRAS RESTAURANT- True Taste of South India,Varun Joshi,"Rated 1.0 out of 5,",a month ago,"Visited first time after Covid and food was not good at all as it was use to be prior to Covid.If the food was 8 out of 10 earlier, now it is 3 out of 10.Won’t recommend this now."
60,Google,MADRAS RESTAURANT- True Taste of South India,kulwinder bhullar,"Rated 1.0 out of 5,",2 months ago,"Today I went there for dine in, food and service was great but unfortunately there was only one server who was serving to customers while the restaurant was quite busy so I felt really bad for him, he was literally running and having hard time in serving and also answering calls at the same time."
61,Google,MADRAS RESTAURANT- True Taste of South India,Rahul Thakur,"Rated 5.0 out of 5,",2 years ago,"Loved the food here. They have a great variety of south indian food. Anyone searching for good food, end your search you got one. Loved the chicken dosa and chicken biryani."
62,Google,MADRAS RESTAURANT- True Taste of South India,ritika hans,"Rated 5.0 out of 5,",2 months ago,"We ordered dosa, it was really good, we usually come here twice a month. Great place"
63,Google,MADRAS RESTAURANT- True Taste of South India,Arjun Padmakumar,"Rated 4.0 out of 5,",2 years ago,A no-frills place with above average south Indian dishes!+ Good chutneys- variety and taste+ Masala Dosa is great+ Economical+ Decor is good- Service isn’t the best as it was entirely handled by one staff member (who did it quite well considering how short staffed they were)
64,Google,MADRAS RESTAURANT- True Taste of South India,Ravneet Kaur,"Rated 5.0 out of 5,",a year ago,We ordered take out and were pleasantly surprised. The food was AMAZING! the Butter Chicken melted in your mouth and I found the taste to be much much better than many places. The Mutton Curry had perfect amount of heat in rich flavorful gravy. Will be returning every chance I get.Thank you madras😊😊😊
65,Google,MADRAS RESTAURANT- True Taste of South India,Ashima Mahajan,"Rated 5.0 out of 5,",2 years ago,The place is nice and quite.the dossa and the lassi are so good when ever we go we order lassi and mysore dossa.My kids and their grandparents enjoyed it .
66,Google,MADRAS RESTAURANT- True Taste of South India,Dan Henderson,"Rated 2.0 out of 5,",a year ago,"The goat curry is average, paratta is not great, the channa was not bad. I think this is a below average to average restaurant to get a south Indian food."
67,Google,MADRAS RESTAURANT- True Taste of South India,Julia Kumar,"Rated 1.0 out of 5,",3 months ago,The worst butter chicken in the world. It is watery and sour and tastes nothing like butter chicken. Worst place ever do not eat here
68,Google,MADRAS RESTAURANT- True Taste of South India,Sowmya Ashturey,"Rated 1.0 out of 5,",4 months ago,"Worst coffee, ruined my evening!! We went there to get some authentic coffee, instead it was so thin and poor in taste. Very disappointed!"
69,Google,MADRAS RESTAURANT- True Taste of South India,love preet,"Rated 1.0 out of 5,",7 months ago,"I usually go to this restaurant on weekend but this time the staff was really bad i went sunday night and the lady working in the front does not know how to accept the mistake i am having from past 4-5 years they serve dosa which seen totally cold and when we sent it back the lady came with explanation that dosa goes warm within few minutes but my friends dosa was hot . Tgen they serve tea in bad glasses which was having bad smell as well as the glasses were having sticky tea on it and said they are permanent stain but we can remove it with nails, we can go there for food but please be sure that the food and water glasses are clean . And the lady should know how to treat the customers instead coming and telling that how is dosa."
70,Google,MADRAS RESTAURANT- True Taste of South India,Kelvin Furtado,"Rated 5.0 out of 5,",a year ago,"One of the better restaurant in Brampton to enjoy a Dosa. Today was my first visit since reopening and absolutely enjoyed myself. Perfectly cooked and crispy dosa, service was great and attentive.Will be back soon ☺️"
71,Google,MADRAS RESTAURANT- True Taste of South India,Deepesh kumar,"Rated 5.0 out of 5,",8 months ago,If you like to eat south Indian this place would be the best. I tried their dosas and they were really good. Chutneys and sambar consistency was good and tasted better than many other restaurants. Chicken curry had good spice and flavour and quantity was very good. Overall I loved the food and will definitely recommend this place if you like South Indian food.
72,Google,MADRAS RESTAURANT- True Taste of South India,Sruthi Ramisetty,"Rated 5.0 out of 5,",2 months ago,The food is absolutely amazing.. I tried everything the best meal I had while in. Highly recommend!!
73,Google,MADRAS RESTAURANT- True Taste of South India,Vishie vish,"Rated 1.0 out of 5,",11 months ago,Ordered biryani rice and chicken 65. Totally disappointed with the quantity when compared to the price. Not coming back again 🙏
74,Google,MADRAS RESTAURANT- True Taste of South India,sunitha mandapati,"Rated 5.0 out of 5,",a year ago,"Great vibe! Amazing food and pretty good quantity as compared to other places! Warm & friendly customer service! Would have never thought they had non-veg dishes as well! Highly recommend the chicken 65, it's too good to miss! Biryani was awesome ."
75,Google,MADRAS RESTAURANT- True Taste of South India,manish goud,"Rated 5.0 out of 5,",a year ago,Service was really nice. Staff was quick and we got our order really fast !! The interior of this Restaurant is decent and took me back to some old memories. Ordered a veg biryani which I believe is enough for two people. I felt the lemon soda could have tasted a little better. Overall I had a lovely experience.
76,Google,MADRAS RESTAURANT- True Taste of South India,Suneet Kumar,"Rated 5.0 out of 5,",5 months ago,There customer service is exceptionally great. Specially Harshdeep’s way of dealing customers is very professional. We enjoyed a lot there with tasty food and nice customer service.
77,Google,MADRAS RESTAURANT- True Taste of South India,gautam goel,"Rated 5.0 out of 5,",a year ago,Not less then heaven. I love it and i feel like i was in Chennai eating famous dosa and idli with my fam.
78,Google,MADRAS RESTAURANT- True Taste of South India,Bobby,"Rated 5.0 out of 5,",a year ago,"I tried their classic Masala Dosa and it was absolutely delicious!! Perfect dosa texture, tasty chutneys, and one of the best sambars I have had to-date. The service was great as well, and I can’t wait to come back and try other items on the menu. AND I liked that they were following all covid protocols, ensuring that only fully vaccinated people are dining in. Must try!"
79,Google,MADRAS RESTAURANT- True Taste of South India,Gandu kumar Chef,"Rated 5.0 out of 5,",a year ago,I placed an online order for chicken biriyani and was surprised with the quantity and flavor as soon as I open the box. The best taste just like home. The portion had 3 big peices of chicken and delicious gravy / raitha for a very reasonable price. I could eat it for 2 meals . I ended up buying 2 days in a row while I was there. Will be back when I am in the area
80,Google,MADRAS RESTAURANT- True Taste of South India,G M,"Rated 5.0 out of 5,",a year ago,"Clean restaurant - ordered goat biryani and goat curry to go - delicious and spicy! Order took longer to prepare than what I was told, but the wait was worth it. Definitely the best goat curry in Brampton out of the ones I've tasted. Very generous portions, too."
81,Google,MADRAS RESTAURANT- True Taste of South India,Chocka Lingam,"Rated 2.0 out of 5,",3 years ago,Today our family went parotta and chatapati with panneer butter masala is very good.But mutton biryani rice is okay and mutton piece is very old one minimum 1 week back  that’s prepared and curry given for side biryani is getting bad smell and raita is okmutton biryani cost is higher than other dishes but okay why very old mutton piece.
82,Google,MADRAS RESTAURANT- True Taste of South India,Mrignayani Katte,"Rated 1.0 out of 5,",a month ago,"Dosa's are soft and sponzy, not crispy like papad.!"
83,Google,MADRAS RESTAURANT- True Taste of South India,Shailesh Joshi,"Rated 2.0 out of 5,",8 months ago,"Food is good. Like the size of vadas and dosa.I ordered Goat Curry on Uber Eats. The order process on Uber Eats requires to select a side of Parota, Chapati or rice. I selected Parota. When they delivered they did not include the Parota! I called the restaurant. They said it’s Uber Eats problem on the ordering! I was not happy!"
84,Google,MADRAS RESTAURANT- True Taste of South India,Ranjit Nair,"Rated 5.0 out of 5,",a year ago,"The food was great. Aroma & Ambience with Pics of South celebrities took me back to my roots. I had the Biryani and chicken 65- tasted soo good, especially the spicy 65. I was missing my homeland food, Now I found a good place. Cashier was very friendly and helpful. My experience there was awesome.👍👍👏👏"
85,Google,MADRAS RESTAURANT- True Taste of South India,venkata pradeep manyam,"Rated 5.0 out of 5,",8 months ago,"I loved 😍 eating here especially chicken 65 and madras special chicken curry, they taste real good and authentic South Indian flavourQuantity is great enough for anyone overall i can say it's best experience."
